TIME,DQN
26.90972222222222,0.0
26.966666666666665,0.166
27.023888888888887,0.014
27.08138888888889,0.013
27.138333333333332,0.0
27.19472222222222,0.007
27.250833333333333,0.008
27.30472222222222,0.0
27.35861111111111,0.24
27.412777777777777,0.0
27.466666666666665,0.0
27.52027777777778,0.015
27.574444444444445,0.031
27.63277777777778,0.35
27.6925,0.008
27.747777777777777,0.073
27.801388888888887,0.079
27.855,0.0
27.90861111111111,0.443
27.963055555555556,0.076
28.016944444444444,0.0
28.070555555555554,0.109
28.12361111111111,0.0
28.177777777777777,0.038
28.2325,0.0
28.286666666666665,0.12
28.340833333333332,0.014
28.394166666666667,0.0
28.448333333333334,0.041
28.502222222222223,0.08
28.55666666666667,0.0
28.611944444444443,0.0
28.666944444444443,0.0
28.721944444444443,0.016
28.775833333333335,0.185
28.83,0.015
28.884444444444444,0.0
28.939166666666665,0.0
28.993333333333332,0.008
29.046666666666667,0.007
29.101388888888888,0.012
29.156111111111112,0.0
29.211666666666666,0.429
29.26527777777778,0.0
29.319166666666668,0.202
29.373333333333335,0.015
29.4275,0.007
29.48138888888889,0.029
29.535555555555554,0.123
29.58972222222222,0.009
29.64361111111111,0.0
29.698611111111113,0.208
29.752222222222223,0.0
29.80611111111111,0.021
29.859444444444446,0.009
29.913888888888888,0.084
29.967777777777776,0.0
30.02111111111111,0.0
30.075555555555557,0.0
30.13,0.0
30.184444444444445,0.008
30.238888888888887,0.139
30.29277777777778,0.021
30.346666666666668,0.0
30.401666666666667,0.142
30.45638888888889,0.015
30.511111111111113,0.124
30.565277777777776,0.0
30.61916666666667,0.017
30.673055555555557,0.076
30.7275,0.0
30.781388888888888,0.033
30.835555555555555,0.421
30.889444444444443,0.0
30.942777777777778,0.083
30.996666666666666,0.0
31.050833333333333,0.216
31.10472222222222,0.0
31.15888888888889,0.0
31.2125,0.0
31.26638888888889,0.079
31.32138888888889,0.0
31.375833333333333,0.0
31.434722222222224,0.413
31.49361111111111,0.009
31.553333333333335,0.0
31.606944444444444,0.009
31.66111111111111,0.0
31.71527777777778,0.041
31.76861111111111,0.037
31.822777777777777,0.0
31.876944444444444,0.112
31.93166666666667,0.47
31.985555555555557,0.0
32.03916666666667,0.008
32.09305555555556,0.143
32.147222222222226,0.243
32.20111111111111,0.0
32.25472222222222,0.0
32.30888888888889,0.0
32.363055555555555,0.074
32.41638888888889,0.056
32.470555555555556,0.021
32.524166666666666,0.038
32.57805555555556,0.008
32.63194444444444,0.052
32.68555555555555,0.0
32.74138888888889,0.353
32.797777777777775,0.326
32.854166666666664,0.0
32.91027777777778,0.081
32.96611111111111,0.014
33.02194444444444,0.017
33.07694444444444,0.219
33.13166666666667,0.0
33.185833333333335,0.0
33.240833333333335,0.111
33.29472222222222,0.0
33.348333333333336,0.0
33.4025,0.0
33.460277777777776,0.0
33.518055555555556,0.013
33.57416666666666,0.0
33.62833333333333,0.0
33.68333333333333,0.0
33.73972222222222,0.0
33.79694444444444,0.0
33.85444444444445,0.0
33.91027777777778,0.0
33.964166666666664,0.045
34.018055555555556,0.0
34.07138888888889,0.169
34.125277777777775,0.34
34.178333333333335,0.008
34.2325,0.0
34.28666666666667,0.118
